home_team,away_team,home_score,away_score,match_date,confederation,tournament,tournament_stage,home_team_fifa_ranking,away_team_fifa_ranking
Iran,Uzbekistan,2,2,2024-09-05,AFC,World Cup Qualifier,Qualifier,20,45
Iran,United Arab Emirates,2,0,2024-09-10,AFC,World Cup Qualifier,Qualifier,20,63
Iran,Qatar,4,1,2024-10-10,AFC,World Cup Qualifier,Qualifier,20,56
Iran,Kyrgyzstan,1,0,2024-10-15,AFC,World Cup Qualifier,Qualifier,20,99
Iran,North Korea,3,0,2024-11-15,AFC,World Cup Qualifier,Qualifier,20,110
Uzbekistan,Iran,0,0,2024-09-10,AFC,World Cup Qualifier,Qualifier,45,20
United Arab Emirates,Iran,0,1,2024-09-05,AFC,World Cup Qualifier,Qualifier,63,20
Qatar,Iran,1,0,2024-10-15,AFC,World Cup Qualifier,Qualifier,56,20
Kyrgyzstan,Iran,2,3,2024-10-10,AFC,World Cup Qualifier,Qualifier,99,20
North Korea,Iran,2,3,2024-11-19,AFC,World Cup Qualifier,Qualifier,110,20
Uzbekistan,United Arab Emirates,1,0,2024-09-05,AFC,World Cup Qualifier,Qualifier,45,63
Uzbekistan,Qatar,3,0,2025-03-20,AFC,World Cup Qualifier,Qualifier,45,56
Uzbekistan,Kyrgyzstan,1,0,2024-10-10,AFC,World Cup Qualifier,Qualifier,45,99
Uzbekistan,North Korea,1,0,2024-11-15,AFC,World Cup Qualifier,Qualifier,45,110
United Arab Emirates,Uzbekistan,0,0,2024-09-10,AFC,World Cup Qualifier,Qualifier,63,45
Qatar,Uzbekistan,3,2,2025-03-25,AFC,World Cup Qualifier,Qualifier,56,45
Kyrgyzstan,Uzbekistan,2,3,2024-10-15,AFC,World Cup Qualifier,Qualifier,99,45
North Korea,Uzbekistan,0,1,2024-11-19,AFC,World Cup Qualifier,Qualifier,110,45
United Arab Emirates,Qatar,1,3,2024-10-10,AFC,World Cup Qualifier,Qualifier,63,56
United Arab Emirates,Kyrgyzstan,3,0,2025-03-20,AFC,World Cup Qualifier,Qualifier,63,99
United Arab Emirates,North Korea,1,1,2024-09-05,AFC,World Cup Qualifier,Qualifier,63,110
Qatar,United Arab Emirates,1,3,2024-10-15,AFC,World Cup Qualifier,Qualifier,56,63
Kyrgyzstan,United Arab Emirates,1,1,2025-03-25,AFC,World Cup Qualifier,Qualifier,99,63
North Korea,United Arab Emirates,1,2,2024-09-10,AFC,World Cup Qualifier,Qualifier,110,63
Qatar,Kyrgyzstan,3,1,2024-09-10,AFC,World Cup Qualifier,Qualifier,56,99
Qatar,North Korea,5,1,2024-11-19,AFC,World Cup Qualifier,Qualifier,56,110
