home_team,away_team,home_score,away_score,match_date,confederation,tournament,tournament_stage,home_team_fifa_ranking,away_team_fifa_ranking
Argentina,Canada,2,0,2024-06-20,CONMEBOL,Copa America 2024,Group Stage,1,30
Peru,Chile,0,0,2024-06-21,CONMEBOL,Copa America 2024,Group Stage,80,49
Peru,Canada,0,1,2024-06-25,CONMEBOL,Copa America 2024,Group Stage,80,30
Chile,Argentina,0,1,2024-06-25,CONMEBOL,Copa America 2024,Group Stage,49,1
Argentina,Peru,2,0,2024-06-29,CONMEBOL,Copa America 2024,Group Stage,1,80
Canada,Chile,0,0,2024-06-29,CONMEBOL,Copa America 2024,Group Stage,30,49
Ecuador,Venezuela,1,2,2024-06-22,CONMEBOL,Copa America 2024,Group Stage,23,44
Mexico,Jamaica,1,0,2024-06-22,CONMEBOL,Copa America 2024,Group Stage,15,94
Ecuador,Jamaica,3,1,2024-06-26,CONMEBOL,Copa America 2024,Group Stage,23,94
Venezuela,Mexico,1,0,2024-06-26,CONMEBOL,Copa America 2024,Group Stage,44,15
Mexico,Ecuador,0,0,2024-06-30,CONMEBOL,Copa America 2024,Group Stage,15,23
Jamaica,Venezuela,0,3,2024-06-30,CONMEBOL,Copa America 2024,Group Stage,94,44
United States,Bolivia,2,0,2024-06-23,CONMEBOL,Copa America 2024,Group Stage,17,80
Uruguay,Panama,3,1,2024-06-23,CONMEBOL,Copa America 2024,Group Stage,16,34
Panama,United States,2,1,2024-06-27,CONMEBOL,Copa America 2024,Group Stage,34,17
Uruguay,Bolivia,5,0,2024-06-27,CONMEBOL,Copa America 2024,Group Stage,16,80
United States,Uruguay,0,1,2024-07-01,CONMEBOL,Copa America 2024,Group Stage,17,16
Bolivia,Panama,1,3,2024-07-01,CONMEBOL,Copa America 2024,Group Stage,80,34
Colombia,Paraguay,2,1,2024-06-24,CONMEBOL,Copa America 2024,Group Stage,13,41
Brazil,Costa Rica,0,0,2024-06-24,CONMEBOL,Copa America 2024,Group Stage,6,70
Colombia,Costa Rica,3,0,2024-06-28,CONMEBOL,Copa America 2024,Group Stage,13,70
Paraguay,Brazil,1,4,2024-06-28,CONMEBOL,Copa America 2024,Group Stage,41,6
Brazil,Colombia,1,1,2024-07-02,CONMEBOL,Copa America 2024,Group Stage,6,13
Costa Rica,Paraguay,2,1,2024-07-02,CONMEBOL,Copa America 2024,Group Stage,70,41
Argentina,Ecuador,1,1,2024-07-04,CONMEBOL,Copa America 2024,Quarter-final,1,23
Venezuela,Canada,1,1,2024-07-05,CONMEBOL,Copa America 2024,Quarter-final,44,30
Uruguay,Brazil,0,0,2024-07-06,CONMEBOL,Copa America 2024,Quarter-final,16,6
Colombia,Panama,5,0,2024-07-06,CONMEBOL,Copa America 2024,Quarter-final,13,34
Argentina,Canada,2,0,2024-07-09,CONMEBOL,Copa America 2024,Semi-final,1,30
Colombia,Uruguay,1,0,2024-07-10,CONMEBOL,Copa America 2024,Semi-final,13,16
Canada,Uruguay,2,2,2024-07-13,CONMEBOL,Copa America 2024,Third place,30,16
Argentina,Colombia,1,0,2024-07-14,CONMEBOL,Copa America 2024,Final,1,13
