home_team,away_team,home_score,away_score,match_date,confederation,tournament,tournament_stage,home_team_fifa_ranking,away_team_fifa_ranking
Germany,Scotland,5,1,2024-06-14,UEFA,Euros 2024,Group Stage,10,42
Hungary,Switzerland,1,3,2024-06-15,UEFA,Euros 2024,Group Stage,35,19
Germany,Hungary,2,0,2024-06-19,UEFA,Euros 2024,Group Stage,10,35
Scotland,Switzerland,1,1,2024-06-19,UEFA,Euros 2024,Group Stage,42,19
Switzerland,Germany,1,1,2024-06-23,UEFA,Euros 2024,Group Stage,19,10
Scotland,Hungary,0,1,2024-06-23,UEFA,Euros 2024,Group Stage,42,35
Spain,Croatia,3,0,2024-06-15,UEFA,Euros 2024,Group Stage,2,11
Italy,Albania,2,1,2024-06-15,UEFA,Euros 2024,Group Stage,12,54
Croatia,Albania,2,2,2024-06-19,UEFA,Euros 2024,Group Stage,11,54
Spain,Italy,1,0,2024-06-20,UEFA,Euros 2024,Group Stage,2,12
Albania,Spain,0,1,2024-06-24,UEFA,Euros 2024,Group Stage,54,2
Croatia,Italy,1,1,2024-06-24,UEFA,Euros 2024,Group Stage,11,12
Slovenia,Denmark,1,1,2024-06-16,UEFA,Euros 2024,Group Stage,55,21
Serbia,England,0,1,2024-06-16,UEFA,Euros 2024,Group Stage,26,4
Slovenia,Serbia,1,1,2024-06-20,UEFA,Euros 2024,Group Stage,55,26
Denmark,England,1,1,2024-06-20,UEFA,Euros 2024,Group Stage,21,4
England,Slovenia,0,0,2024-06-25,UEFA,Euros 2024,Group Stage,4,55
Denmark,Serbia,0,0,2024-06-25,UEFA,Euros 2024,Group Stage,21,26
Poland,Netherlands,1,2,2024-06-16,UEFA,Euros 2024,Group Stage,47,8
Austria,France,0,1,2024-06-17,UEFA,Euros 2024,Group Stage,24,3
Poland,Austria,1,3,2024-06-21,UEFA,Euros 2024,Group Stage,47,24
Netherlands,France,0,0,2024-06-21,UEFA,Euros 2024,Group Stage,8,3
Netherlands,Austria,2,3,2024-06-25,UEFA,Euros 2024,Group Stage,8,24
France,Poland,1,1,2024-06-25,UEFA,Euros 2024,Group Stage,3,47
Romania,Ukraine,3,0,2024-06-17,UEFA,Euros 2024,Group Stage,47,27
Belgium,Slovakia,0,1,2024-06-17,UEFA,Euros 2024,Group Stage,9,39
Slovakia,Ukraine,1,2,2024-06-21,UEFA,Euros 2024,Group Stage,39,27
Belgium,Romania,2,0,2024-06-22,UEFA,Euros 2024,Group Stage,9,47
Slovakia,Romania,1,1,2024-06-26,UEFA,Euros 2024,Group Stage,39,47
Ukraine,Belgium,0,0,2024-06-26,UEFA,Euros 2024,Group Stage,27,9
Turkey,Georgia,3,1,2024-06-18,UEFA,Euros 2024,Group Stage,22,110
Portugal,Czech Republic,2,1,2024-06-18,UEFA,Euros 2024,Group Stage,5,40
Georgia,Czech Republic,1,1,2024-06-22,UEFA,Euros 2024,Group Stage,110,40
Turkey,Portugal,0,3,2024-06-22,UEFA,Euros 2024,Group Stage,22,5
Georgia,Portugal,2,0,2024-06-26,UEFA,Euros 2024,Group Stage,110,5
Czech Republic,Turkey,1,2,2024-06-26,UEFA,Euros 2024,Group Stage,40,22
Spain,Georgia,4,1,2024-06-30,UEFA,Euros 2024,Round of 16,2,110
Germany,Denmark,2,0,2024-06-29,UEFA,Euros 2024,Round of 16,10,21
Portugal,Slovenia,0,0,2024-07-01,UEFA,Euros 2024,Round of 16,5,55
France,Belgium,1,0,2024-07-01,UEFA,Euros 2024,Round of 16,3,9
Romania,Netherlands,0,3,2024-07-02,UEFA,Euros 2024,Round of 16,47,8
Austria,Turkey,1,2,2024-07-02,UEFA,Euros 2024,Round of 16,24,22
England,Slovakia,2,1,2024-06-30,UEFA,Euros 2024,Round of 16,4,39
Switzerland,Italy,2,0,2024-06-29,UEFA,Euros 2024,Round of 16,19,12
Spain,Germany,2,1,2024-07-05,UEFA,Euros 2024,Quarter-final,2,10
Portugal,France,0,0,2024-07-05,UEFA,Euros 2024,Quarter-final,5,3
Netherlands,Turkey,2,1,2024-07-06,UEFA,Euros 2024,Quarter-final,8,22
England,Switzerland,1,1,2024-07-06,UEFA,Euros 2024,Quarter-final,4,19
Spain,France,2,1,2024-07-09,UEFA,Euros 2024,Semi-final,2,3
Netherlands,England,1,2,2024-07-10,UEFA,Euros 2024,Semi-final,8,4
Spain,England,2,1,2024-07-14,UEFA,Euros 2024,Final,2,4
