home_team,away_team,home_score,away_score,match_date,confederation,tournament,tournament_stage,home_team_fifa_ranking,away_team_fifa_ranking
Germany,Slovakia,6,0,2025-09-04,UEFA,World Cup Qualifier,Qualifier,10,39
Germany,Northern Ireland,3,1,2025-09-07,UEFA,World Cup Qualifier,Qualifier,10,95
Germany,Luxembourg,4,0,2025-10-10,UEFA,World Cup Qualifier,Qualifier,10,120
Slovakia,Northern Ireland,1,0,2025-10-10,UEFA,World Cup Qualifier,Qualifier,39,95
Slovakia,Luxembourg,2,0,2025-10-13,UEFA,World Cup Qualifier,Qualifier,39,120
Northern Ireland,Luxembourg,1,0,2025-11-14,UEFA,World Cup Qualifier,Qualifier,95,120
Slovakia,Germany,2,0,2025-09-07,UEFA,World Cup Qualifier,Qualifier,39,10
Northern Ireland,Germany,0,1,2025-10-13,UEFA,World Cup Qualifier,Qualifier,95,10
Luxembourg,Germany,0,2,2025-11-14,UEFA,World Cup Qualifier,Qualifier,120,10
Northern Ireland,Slovakia,2,0,2025-11-14,UEFA,World Cup Qualifier,Qualifier,95,39
Luxembourg,Slovakia,0,1,2025-11-17,UEFA,World Cup Qualifier,Qualifier,120,39
Luxembourg,Northern Ireland,1,3,2025-11-17,UEFA,World Cup Qualifier,Qualifier,120,95
Switzerland,Kosovo,4,0,2025-09-04,UEFA,World Cup Qualifier,Qualifier,19,66
Switzerland,Slovenia,3,0,2025-09-07,UEFA,World Cup Qualifier,Qualifier,19,55
Switzerland,Sweden,4,1,2025-10-10,UEFA,World Cup Qualifier,Qualifier,19,38
Kosovo,Slovenia,0,0,2025-10-10,UEFA,World Cup Qualifier,Qualifier,66,55
Kosovo,Sweden,2,0,2025-10-13,UEFA,World Cup Qualifier,Qualifier,66,38
Slovenia,Sweden,2,2,2025-11-14,UEFA,World Cup Qualifier,Qualifier,55,38
Kosovo,Switzerland,1,1,2025-09-07,UEFA,World Cup Qualifier,Qualifier,66,19
Slovenia,Switzerland,0,0,2025-09-04,UEFA,World Cup Qualifier,Qualifier,55,19
Sweden,Switzerland,0,2,2025-10-13,UEFA,World Cup Qualifier,Qualifier,38,19
Slovenia,Kosovo,0,2,2025-11-14,UEFA,World Cup Qualifier,Qualifier,55,66
Sweden,Kosovo,0,1,2025-11-17,UEFA,World Cup Qualifier,Qualifier,38,66
Sweden,Slovenia,1,1,2025-11-17,UEFA,World Cup Qualifier,Qualifier,38,55
Scotland,Denmark,4,2,2025-09-05,UEFA,World Cup Qualifier,Qualifier,42,21
Scotland,Greece,3,1,2025-09-08,UEFA,World Cup Qualifier,Qualifier,42,36
Scotland,Belarus,2,1,2025-10-11,UEFA,World Cup Qualifier,Qualifier,42,72
Denmark,Greece,3,1,2025-10-11,UEFA,World Cup Qualifier,Qualifier,21,36
Denmark,Belarus,2,2,2025-11-15,UEFA,World Cup Qualifier,Qualifier,21,72
Greece,Belarus,5,1,2025-11-15,UEFA,World Cup Qualifier,Qualifier,36,72
Denmark,Scotland,0,0,2025-09-08,UEFA,World Cup Qualifier,Qualifier,21,42
Greece,Scotland,3,2,2025-09-05,UEFA,World Cup Qualifier,Qualifier,36,42
Belarus,Scotland,0,2,2025-10-14,UEFA,World Cup Qualifier,Qualifier,72,42
Greece,Denmark,0,3,2025-10-08,UEFA,World Cup Qualifier,Qualifier,36,21
Belarus,Denmark,0,6,2025-11-18,UEFA,World Cup Qualifier,Qualifier,72,21
Belarus,Greece,0,0,2025-11-18,UEFA,World Cup Qualifier,Qualifier,72,36
France,Ukraine,4,0,2025-09-05,UEFA,World Cup Qualifier,Qualifier,3,27
France,Iceland,2,1,2025-09-08,UEFA,World Cup Qualifier,Qualifier,3,65
France,Azerbaijan,3,0,2025-10-11,UEFA,World Cup Qualifier,Qualifier,3,86
Ukraine,Iceland,2,0,2025-10-11,UEFA,World Cup Qualifier,Qualifier,27,65
Ukraine,Azerbaijan,2,1,2025-11-15,UEFA,World Cup Qualifier,Qualifier,27,86
Iceland,Azerbaijan,5,0,2025-11-15,UEFA,World Cup Qualifier,Qualifier,65,86
Ukraine,France,0,2,2025-09-08,UEFA,World Cup Qualifier,Qualifier,27,3
Iceland,France,2,2,2025-09-05,UEFA,World Cup Qualifier,Qualifier,65,3
Azerbaijan,France,1,3,2025-10-14,UEFA,World Cup Qualifier,Qualifier,86,3
Iceland,Ukraine,3,5,2025-10-08,UEFA,World Cup Qualifier,Qualifier,65,27
Azerbaijan,Ukraine,1,1,2025-11-18,UEFA,World Cup Qualifier,Qualifier,86,27
Azerbaijan,Iceland,0,2,2025-11-18,UEFA,World Cup Qualifier,Qualifier,86,65
Spain,Turkey,2,2,2025-09-05,UEFA,World Cup Qualifier,Qualifier,2,22
Spain,Georgia,2,0,2025-09-08,UEFA,World Cup Qualifier,Qualifier,2,110
Spain,Bulgaria,4,0,2025-10-11,UEFA,World Cup Qualifier,Qualifier,2,130
Turkey,Georgia,4,1,2025-10-11,UEFA,World Cup Qualifier,Qualifier,22,110
Turkey,Bulgaria,2,0,2025-11-15,UEFA,World Cup Qualifier,Qualifier,22,130
Georgia,Bulgaria,3,0,2025-11-15,UEFA,World Cup Qualifier,Qualifier,110,130
Turkey,Spain,0,6,2025-09-08,UEFA,World Cup Qualifier,Qualifier,22,2
Georgia,Spain,0,4,2025-09-05,UEFA,World Cup Qualifier,Qualifier,110,2
Bulgaria,Spain,0,3,2025-10-14,UEFA,World Cup Qualifier,Qualifier,130,2
Georgia,Turkey,2,3,2025-10-08,UEFA,World Cup Qualifier,Qualifier,110,22
Bulgaria,Turkey,1,6,2025-11-18,UEFA,World Cup Qualifier,Qualifier,130,22
Bulgaria,Georgia,2,1,2025-11-18,UEFA,World Cup Qualifier,Qualifier,130,110
Portugal,Republic of Ireland,1,0,2025-09-05,UEFA,World Cup Qualifier,Qualifier,5,90
Portugal,Hungary,2,2,2025-09-08,UEFA,World Cup Qualifier,Qualifier,5,35
Portugal,Armenia,9,1,2025-10-11,UEFA,World Cup Qualifier,Qualifier,5,85
Republic of Ireland,Hungary,2,2,2025-10-11,UEFA,World Cup Qualifier,Qualifier,90,35
Republic of Ireland,Armenia,1,0,2025-11-15,UEFA,World Cup Qualifier,Qualifier,90,85
Hungary,Armenia,2,0,2025-11-15,UEFA,World Cup Qualifier,Qualifier,35,85
Republic of Ireland,Portugal,2,0,2025-09-08,UEFA,World Cup Qualifier,Qualifier,90,5
Hungary,Portugal,2,3,2025-09-05,UEFA,World Cup Qualifier,Qualifier,35,5
Armenia,Portugal,0,5,2025-10-14,UEFA,World Cup Qualifier,Qualifier,85,5
Hungary,Republic of Ireland,2,3,2025-10-08,UEFA,World Cup Qualifier,Qualifier,35,90
Armenia,Republic of Ireland,2,1,2025-11-18,UEFA,World Cup Qualifier,Qualifier,85,90
Armenia,Hungary,0,1,2025-11-18,UEFA,World Cup Qualifier,Qualifier,85,35
Netherlands,Poland,1,1,2025-03-21,UEFA,World Cup Qualifier,Qualifier,8,47
Netherlands,Finland,4,0,2025-03-24,UEFA,World Cup Qualifier,Qualifier,8,53
Netherlands,Malta,8,0,2025-06-06,UEFA,World Cup Qualifier,Qualifier,8,150
Netherlands,Lithuania,4,0,2025-06-09,UEFA,World Cup Qualifier,Qualifier,8,150
Poland,Finland,3,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,47,53
Poland,Malta,2,0,2025-06-06,UEFA,World Cup Qualifier,Qualifier,47,150
Poland,Lithuania,1,0,2025-06-09,UEFA,World Cup Qualifier,Qualifier,47,150
Finland,Malta,0,1,2025-09-05,UEFA,World Cup Qualifier,Qualifier,53,150
Finland,Lithuania,2,1,2025-09-08,UEFA,World Cup Qualifier,Qualifier,53,150
Malta,Lithuania,0,0,2025-10-11,UEFA,World Cup Qualifier,Qualifier,150,150
Poland,Netherlands,1,1,2025-03-21,UEFA,World Cup Qualifier,Qualifier,47,8
Finland,Netherlands,0,2,2025-03-24,UEFA,World Cup Qualifier,Qualifier,53,8
Malta,Netherlands,0,4,2025-06-06,UEFA,World Cup Qualifier,Qualifier,150,8
Lithuania,Netherlands,2,3,2025-06-09,UEFA,World Cup Qualifier,Qualifier,150,8
Finland,Poland,2,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,53,47
Malta,Poland,2,3,2025-06-06,UEFA,World Cup Qualifier,Qualifier,150,47
Lithuania,Poland,0,2,2025-06-09,UEFA,World Cup Qualifier,Qualifier,150,47
Malta,Finland,0,2,2025-09-08,UEFA,World Cup Qualifier,Qualifier,150,53
Lithuania,Finland,2,2,2025-09-05,UEFA,World Cup Qualifier,Qualifier,150,53
Lithuania,Malta,1,1,2025-10-14,UEFA,World Cup Qualifier,Qualifier,150,150
Austria,Bosnia and Herzegovina,1,1,2025-03-21,UEFA,World Cup Qualifier,Qualifier,24,57
Austria,Romania,2,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,24,47
Austria,Cyprus,1,0,2025-06-06,UEFA,World Cup Qualifier,Qualifier,24,130
Austria,San Marino,10,0,2025-06-09,UEFA,World Cup Qualifier,Qualifier,24,210
Bosnia and Herzegovina,Romania,3,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,57,47
Bosnia and Herzegovina,Cyprus,2,1,2025-06-06,UEFA,World Cup Qualifier,Qualifier,57,130
Bosnia and Herzegovina,San Marino,1,0,2025-06-09,UEFA,World Cup Qualifier,Qualifier,57,210
Romania,Cyprus,2,0,2025-09-05,UEFA,World Cup Qualifier,Qualifier,47,130
Romania,San Marino,7,1,2025-09-08,UEFA,World Cup Qualifier,Qualifier,47,210
Cyprus,San Marino,2,0,2025-10-11,UEFA,World Cup Qualifier,Qualifier,130,210
Bosnia and Herzegovina,Austria,1,2,2025-03-21,UEFA,World Cup Qualifier,Qualifier,57,24
Romania,Austria,1,0,2025-03-24,UEFA,World Cup Qualifier,Qualifier,47,24
Cyprus,Austria,0,2,2025-06-06,UEFA,World Cup Qualifier,Qualifier,130,24
San Marino,Austria,0,4,2025-06-09,UEFA,World Cup Qualifier,Qualifier,210,24
Romania,Bosnia and Herzegovina,0,1,2025-03-24,UEFA,World Cup Qualifier,Qualifier,47,57
Cyprus,Bosnia and Herzegovina,2,2,2025-06-06,UEFA,World Cup Qualifier,Qualifier,130,57
San Marino,Bosnia and Herzegovina,0,6,2025-06-09,UEFA,World Cup Qualifier,Qualifier,210,57
Cyprus,Romania,2,2,2025-09-08,UEFA,World Cup Qualifier,Qualifier,130,47
San Marino,Romania,1,5,2025-09-05,UEFA,World Cup Qualifier,Qualifier,210,47
San Marino,Cyprus,0,4,2025-10-14,UEFA,World Cup Qualifier,Qualifier,210,130
Norway,Italy,3,0,2025-03-21,UEFA,World Cup Qualifier,Qualifier,32,12
Norway,Israel,5,0,2025-03-24,UEFA,World Cup Qualifier,Qualifier,32,56
Norway,Estonia,4,1,2025-06-06,UEFA,World Cup Qualifier,Qualifier,32,100
Norway,Moldova,11,1,2025-06-09,UEFA,World Cup Qualifier,Qualifier,32,140
Italy,Israel,3,0,2025-03-24,UEFA,World Cup Qualifier,Qualifier,12,56
Italy,Estonia,5,0,2025-06-06,UEFA,World Cup Qualifier,Qualifier,12,100
Italy,Moldova,2,0,2025-06-09,UEFA,World Cup Qualifier,Qualifier,12,140
Israel,Estonia,2,1,2025-09-05,UEFA,World Cup Qualifier,Qualifier,56,100
Israel,Moldova,4,1,2025-09-08,UEFA,World Cup Qualifier,Qualifier,56,140
Estonia,Moldova,1,1,2025-10-11,UEFA,World Cup Qualifier,Qualifier,100,140
Italy,Norway,1,4,2025-03-21,UEFA,World Cup Qualifier,Qualifier,12,32
Israel,Norway,2,4,2025-03-24,UEFA,World Cup Qualifier,Qualifier,56,32
Estonia,Norway,0,4,2025-06-06,UEFA,World Cup Qualifier,Qualifier,100,32
Moldova,Norway,0,5,2025-06-09,UEFA,World Cup Qualifier,Qualifier,140,32
Israel,Italy,4,5,2025-03-24,UEFA,World Cup Qualifier,Qualifier,56,12
Estonia,Italy,0,3,2025-06-06,UEFA,World Cup Qualifier,Qualifier,100,12
Moldova,Italy,0,2,2025-06-09,UEFA,World Cup Qualifier,Qualifier,140,12
Estonia,Israel,1,3,2025-09-08,UEFA,World Cup Qualifier,Qualifier,100,56
Moldova,Israel,1,2,2025-09-05,UEFA,World Cup Qualifier,Qualifier,140,56
Moldova,Estonia,2,3,2025-10-14,UEFA,World Cup Qualifier,Qualifier,140,100
